name,position,nationality,age,overall,min_fantasy,max_fantasy,pace,shooting,passing,dribbling,defending,physical
Pelé,FWD,Brazil,83,99,8,28,95,99,92,97,40,85
Diego Maradona,MID,Argentina,60,99,6,25,92,94,93,99,42,78
Zinedine Zidane,MID,France,52,97,8,23,82,88,96,95,70,82
Ronaldo Nazário,FWD,Brazil,48,96,4,26,95,97,81,95,33,82
Ronaldinho,MID,Brazil,44,96,5,24,92,88,93,99,42,79
Cristiano Ronaldo,FWD,Portugal,39,96,10,26,93,98,82,92,36,85
Lionel Messi,FWD,Argentina,37,96,10,27,91,96,94,99,38,70
Franz Beckenbauer,DEF,Germany,79,95,5,17,76,76,93,85,92,88
Johan Cruyff,MID,Netherlands,77,95,7,22,88,86,92,94,65,75
Alfredo Di Stéfano,FWD,Argentina,98,95,8,24,85,95,90,88,60,84
Ferenc Puskás,FWD,Hungary,97,94,7,23,78,96,87,89,45,82
Garrincha,FWD,Brazil,90,94,6,24,94,88,79,98,35,72
George Best,FWD,Northern Ireland,78,94,5,23,94,89,84,96,40,74
Michel Platini,MID,France,69,94,7,21,75,92,95,88,72,81
Marco van Basten,FWD,Netherlands,60,94,7,22,82,96,82,85,42,86
Paolo Maldini,DEF,Italy,56,94,4,14,78,52,88,79,95,88
Roberto Carlos,DEF,Brazil,51,93,2,20,92,78,82,86,86,88
Cafu,DEF,Brazil,54,93,3,16,94,65,80,84,88,86
Franco Baresi,DEF,Italy,64,93,4,13,72,48,85,76,96,86
Lev Yashin,GK,Soviet Union,94,93,3,11,45,35,42,38,48,88
Dino Zoff,GK,Italy,82,92,3,10,42,33,40,35,45,84
Iker Casillas,GK,Spain,43,93,4,10,58,31,40,33,45,71
Gianluigi Buffon,GK,Italy,46,92,3,10,52,28,38,32,42,82
Oliver Kahn,GK,Germany,55,92,2,11,48,31,36,30,43,86
Peter Schmeichel,GK,Denmark,61,92,3,10,50,32,39,34,44,88
Lothar Matthäus,MID,Germany,63,93,6,20,84,82,92,86,90,88
Xavi Hernández,MID,Spain,44,93,6,18,68,75,97,89,68,75
Andrés Iniesta,MID,Spain,40,92,7,20,82,78,95,96,64,72
Luka Modrić,MID,Croatia,39,92,6,19,84,76,94,93,74,76
Andrea Pirlo,MID,Italy,45,92,5,17,62,72,96,82,75,70
Frank Rijkaard,MID,Netherlands,62,91,5,18,80,74,88,84,89,88
Patrick Vieira,MID,France,48,91,4,19,82,76,84,81,88,92
Clarence Seedorf,MID,Netherlands,48,91,6,19,82,84,89,88,78,85
Steven Gerrard,MID,England,44,91,5,22,78,88,86,82,80,86
Frank Lampard,MID,England,46,91,6,21,76,90,88,84,75,82
Paul Scholes,MID,England,50,91,5,19,72,86,92,85,78,79
Zinedine Yazid,MID,France,52,90,6,20,80,85,94,92,72,80
Roy Keane,MID,Ireland,53,90,4,18,76,76,82,78,88,90
Bastian Schweinsteiger,MID,Germany,40,89,5,17,74,78,88,82,84,82
Wesley Sneijder,MID,Netherlands,40,89,5,18,78,82,90,88,72,76
Kaká,MID,Brazil,42,91,6,20,83,86,88,91,64,78
Thierry Henry,FWD,France,47,93,6,22,96,93,82,90,42,82
Ruud van Nistelrooy,FWD,Netherlands,48,90,6,20,78,94,76,80,38,85
Romário,FWD,Brazil,58,92,7,20,88,94,78,92,35,78
Raúl González,FWD,Spain,47,91,6,19,82,90,84,86,48,79
Samuel Eto'o,FWD,Cameroon,43,90,6,20,95,88,76,85,42,80
David Villa,FWD,Spain,42,89,5,18,85,90,79,82,40,78
Fernando Torres,FWD,Spain,40,89,5,19,92,88,74,82,38,80
Didier Drogba,FWD,Ivory Coast,46,90,6,20,84,90,72,82,48,92
Zlatan Ibrahimović,FWD,Sweden,43,91,5,21,82,94,80,90,42,94
Carlos Tévez,FWD,Argentina,40,88,5,19,88,86,76,88,50,87
Sergio Agüero,FWD,Argentina,36,90,6,20,92,92,78,90,40,78
Luis Suárez,FWD,Uruguay,37,91,6,21,86,94,82,92,48,85
Robert Lewandowski,FWD,Poland,36,91,7,21,82,95,80,88,48,86
Karim Benzema,FWD,France,37,91,7,20,80,92,84,90,42,82
Wayne Rooney,FWD,England,39,91,6,20,84,92,86,88,52,84
Fabio Cannavaro,DEF,Italy,51,93,4,14,78,46,78,72,95,82
Carles Puyol,DEF,Spain,46,91,3,14,76,52,72,68,92,92
Alessandro Nesta,DEF,Italy,48,93,4,13,74,48,80,70,96,86
Rio Ferdinand,DEF,England,46,90,3,13,78,56,76,72,90,84
John Terry,DEF,England,44,90,3,12,72,58,74,68,92,88
Nemanja Vidić,DEF,Serbia,43,90,3,13,68,54,72,66,94,92
Javier Zanetti,DEF,Argentina,51,91,4,14,88,62,84,80,88,84
Philipp Lahm,DEF,Germany,41,92,4,15,90,68,92,86,92,78
Sergio Ramos,DEF,Spain,38,91,3,16,80,72,78,74,90,86
Gerard Piqué,DEF,Spain,37,90,3,13,64,58,82,72,92,86
Thiago Silva,DEF,Brazil,40,91,4,13,78,54,84,76,94,82
Virgil van Dijk,DEF,Netherlands,33,92,4,14,82,62,78,74,93,92
Ashley Cole,DEF,England,44,89,3,12,88,58,76,78,88,80
Marcelo,DEF,Brazil,36,90,2,17,92,72,86,92,82,78
Dani Alves,DEF,Brazil,41,91,3,16,92,76,88,90,84,76
Lilian Thuram,DEF,France,52,91,4,13,86,58,80,76,92,88
Sol Campbell,DEF,England,50,89,3,12,72,52,68,66,90,92
Ledley King,DEF,England,44,87,3,11,76,54,74,70,88,84
Vincent Kompany,DEF,Belgium,38,90,3,13,76,62,80,72,92,88
Pepe,DEF,Portugal,41,90,2,14,74,58,76,70,92,90
Raphaël Varane,DEF,France,31,90,4,13,88,60,78,74,92,84
Jaap Stam,DEF,Netherlands,52,91,4,12,70,56,74,68,94,94
Matthijs de Ligt,DEF,Netherlands,25,89,3,12,82,58,80,76,90,86
Eric Cantona,FWD,France,58,91,5,20,82,88,86,90,48,82
Dennis Bergkamp,FWD,Netherlands,55,92,6,20,78,90,92,92,52,76
Alessandro Del Piero,FWD,Italy,50,92,6,20,82,92,90,92,54,74
Francesco Totti,FWD,Italy,48,92,6,19,74,90,94,90,62,78
Pavel Nedvěd,MID,Czech Republic,52,91,5,19,86,82,88,88,78,84
Ruud Gullit,MID,Netherlands,62,92,6,20,84,86,88,89,82,88
Michael Ballack,MID,Germany,48,90,5,19,76,86,88,84,82,86
Rivaldo,MID,Brazil,52,92,6,21,82,92,90,94,66,80
Gheorghe Hagi,MID,Romania,60,91,5,19,80,88,92,90,68,76
Socrates,MID,Brazil,70,90,5,18,72,84,90,86,70,85
Gerd Müller,FWD,Germany,78,94,7,23,76,98,72,80,44,88
Giuseppe Meazza,FWD,Italy,114,93,6,21,82,94,86,88,50,82
Eusébio,FWD,Portugal,82,94,7,22,92,96,80,90,46,82
Kenny Dalglish,FWD,Scotland,73,90,6,19,80,88,88,86,58,80
Bobby Charlton,MID,England,87,93,6,20,78,92,92,84,72,82
Gordon Banks,GK,England,87,91,3,10,46,30,38,32,42,80
Gianfranco Zola,FWD,Italy,58,89,5,18,86,86,88,94,52,72
Michael Laudrup,MID,Denmark,60,92,6,19,82,84,94,92,70,76
Hugo Sánchez,FWD,Mexico,66,90,6,20,88,94,78,86,40,76
Ian Rush,FWD,Wales,63,89,6,19,88,90,76,82,42,82
